inventory_id,product_id,warehouse_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,last_stock_date
1,10,WH-2,183,32,151,100,2025-01-01
2,3,WH-3,143,20,123,100,2025-01-01
3,10,WH-1,124,30,94,100,2025-01-01
4,1,WH-2,185,10,175,100,2025-01-01
5,9,WH-1,301,19,282,100,2025-01-01
6,8,WH-3,115,14,101,100,2025-01-01
7,5,WH-2,325,18,307,100,2025-01-01
8,4,WH-2,106,9,97,100,2025-01-01
9,8,WH-1,140,8,132,100,2025-01-01
10,5,WH-3,290,37,253,100,2025-01-01
11,3,WH-1,322,46,276,100,2025-01-01
12,5,WH-3,356,25,331,100,2025-01-01
13,4,WH-3,139,45,94,100,2025-01-01
14,10,WH-1,442,28,414,100,2025-01-01
15,2,WH-2,300,38,262,100,2025-01-01
16,4,WH-3,145,30,115,100,2025-01-01
17,4,WH-1,441,17,424,100,2025-01-01
18,5,WH-1,483,12,471,100,2025-01-01
19,6,WH-3,417,7,410,100,2025-01-01
20,2,WH-3,437,12,425,100,2025-01-01
