sale_id,customer_id,product_id,salesperson_id,order_date,delivery_date,quantity,unit_price,discount_percent,total_amount,profit,city,state,country
1,8,6,5,2025-12-19,2026-04-30,3,208.82,12.01,551.22,22.72,New York,NY,USA
2,3,6,2,2026-03-14,2026-01-08,3,54.49,9.63,147.73,45.94,New York,NY,USA
3,10,9,5,2026-05-29,2025-11-14,5,473.72,11.76,2090.05,46.73,New York,NY,USA
4,3,2,2,2025-11-26,2025-11-17,4,135.56,4.65,517.03,23.21,New York,NY,USA
5,6,2,2,2026-02-16,2026-03-25,5,354.22,19.11,1432.64,28.33,New York,NY,USA
6,5,2,5,2026-08-24,2026-08-23,5,204.68,8.6,935.39,26.15,New York,NY,USA
7,4,7,4,2026-08-12,2026-06-16,4,430.79,8.67,1573.76,42.37,New York,NY,USA
8,3,8,5,2026-05-01,2026-09-02,1,300.63,12.85,262.0,38.74,New York,NY,USA
9,5,8,1,2026-03-03,2026-06-11,5,368.76,11.98,1622.91,33.63,New York,NY,USA
10,9,3,1,2026-01-08,2026-06-03,5,466.53,17.51,1924.2,5.94,New York,NY,USA
11,10,5,3,2026-01-07,2026-02-14,5,328.14,8.26,1505.18,11.78,New York,NY,USA
12,4,2,5,2026-07-16,2025-12-07,2,380.96,13.94,655.71,5.66,New York,NY,USA
13,2,8,5,2026-07-27,2026-04-22,5,214.28,10.01,964.15,44.2,New York,NY,USA
14,9,5,5,2026-06-23,2025-12-20,4,143.59,5.21,544.44,47.54,New York,NY,USA
15,6,9,3,2026-05-30,2026-06-24,4,26.52,13.31,91.96,26.33,New York,NY,USA
16,9,9,5,2025-10-19,2026-01-02,2,79.42,16.0,133.43,41.67,New York,NY,USA
17,1,5,4,2026-05-05,2026-06-14,4,95.4,13.12,331.53,24.39,New York,NY,USA
18,2,4,4,2025-11-22,2026-06-18,2,406.69,11.62,718.87,12.81,New York,NY,USA
19,3,4,1,2025-09-28,2026-03-11,4,103.19,0.91,409.0,30.86,New York,NY,USA
20,8,5,3,2025-11-13,2026-07-02,5,84.81,14.49,362.61,23.22,New York,NY,USA
21,7,3,3,2025-11-19,2025-11-27,4,368.67,18.35,1204.08,15.95,New York,NY,USA
22,1,8,4,2026-07-27,2026-07-09,4,215.56,15.47,728.85,15.8,New York,NY,USA
23,4,5,1,2025-12-30,2026-03-06,4,335.68,19.02,1087.33,10.94,New York,NY,USA
24,8,4,5,2025-11-13,2026-03-04,2,356.61,3.03,691.61,48.16,New York,NY,USA
25,3,2,1,2026-08-28,2026-09-15,2,387.81,13.75,668.97,27.36,New York,NY,USA
26,6,1,2,2025-12-07,2026-08-30,4,271.25,8.19,996.14,33.89,New York,NY,USA
27,2,2,1,2025-12-01,2025-10-08,3,237.18,15.38,602.11,32.93,New York,NY,USA
28,2,10,3,2025-11-01,2026-06-18,3,464.67,1.35,1375.19,11.39,New York,NY,USA
29,4,5,3,2025-12-15,2026-03-31,1,136.98,9.6,123.83,12.08,New York,NY,USA
30,7,6,1,2026-05-28,2025-10-21,2,302.24,16.01,507.7,45.99,New York,NY,USA
31,8,5,4,2026-06-03,2026-09-02,4,305.2,19.29,985.31,29.29,New York,NY,USA
32,3,8,1,2026-06-13,2025-11-12,3,481.99,7.81,1333.04,30.41,New York,NY,USA
33,3,9,1,2026-01-17,2025-11-14,5,346.59,3.57,1671.08,35.24,New York,NY,USA
34,5,8,5,2026-04-14,2026-05-19,5,19.59,17.91,80.41,29.65,New York,NY,USA
35,2,9,2,2026-06-28,2026-03-12,3,261.36,7.82,722.76,49.03,New York,NY,USA
36,7,8,1,2025-11-14,2026-03-14,4,42.08,4.19,161.27,48.88,New York,NY,USA
37,4,6,3,2025-12-31,2026-02-11,4,148.4,3.8,571.04,5.35,New York,NY,USA
38,3,7,3,2026-09-09,2025-12-14,5,189.21,11.83,834.13,36.12,New York,NY,USA
39,8,7,5,2025-10-13,2025-11-19,3,212.74,1.46,628.9,17.08,New York,NY,USA
40,1,2,1,2026-04-03,2026-02-02,4,358.21,0.43,1426.68,16.82,New York,NY,USA
41,9,1,1,2025-11-10,2026-03-09,3,388.31,2.32,1137.9,13.49,New York,NY,USA
42,9,1,2,2025-09-25,2026-06-30,3,164.15,3.02,477.58,27.89,New York,NY,USA
43,4,2,1,2025-10-08,2026-05-14,5,272.26,9.87,1226.94,26.89,New York,NY,USA
44,10,1,3,2025-09-23,2026-05-06,4,51.27,17.39,169.42,39.28,New York,NY,USA
45,1,10,4,2026-02-18,2026-07-26,2,33.81,6.86,62.98,38.47,New York,NY,USA
46,10,10,1,2026-05-20,2026-04-23,2,406.73,18.28,664.76,5.92,New York,NY,USA
47,2,5,5,2025-10-03,2026-03-28,3,420.78,11.24,1120.45,25.8,New York,NY,USA
48,6,10,1,2025-11-04,2026-02-13,1,367.54,10.59,328.62,7.33,New York,NY,USA
49,6,1,5,2026-06-02,2026-05-03,2,398.35,6.68,743.48,14.03,New York,NY,USA
50,4,1,2,2025-10-18,2025-09-30,1,283.8,1.44,279.71,37.86,New York,NY,USA
51,6,1,2,2026-05-09,2026-04-10,1,47.62,1.05,47.12,45.37,New York,NY,USA
52,9,5,4,2026-01-01,2025-12-03,2,153.43,12.49,268.53,33.13,New York,NY,USA
53,9,1,4,2026-08-15,2026-09-13,3,396.51,15.32,1007.29,34.82,New York,NY,USA
54,9,7,2,2026-09-05,2026-01-27,5,116.56,11.18,517.64,46.34,New York,NY,USA
55,10,7,1,2026-03-27,2026-03-07,3,317.15,11.29,844.03,46.88,New York,NY,USA
56,6,9,3,2026-06-19,2026-06-12,2,402.1,18.76,653.33,41.97,New York,NY,USA
57,3,5,4,2026-08-28,2025-12-25,3,328.99,7.2,915.91,35.42,New York,NY,USA
58,10,6,4,2025-09-26,2026-05-14,1,420.09,19.13,339.73,38.13,New York,NY,USA
59,4,5,4,2026-05-21,2025-12-22,5,84.58,1.54,416.39,15.4,New York,NY,USA
60,5,9,1,2026-07-04,2026-04-05,5,401.74,15.94,1688.51,26.75,New York,NY,USA
61,4,2,4,2026-01-19,2026-06-04,5,81.54,14.54,348.42,8.97,New York,NY,USA
62,9,1,5,2026-01-31,2026-03-04,3,438.88,11.57,1164.3,22.13,New York,NY,USA
63,9,2,1,2026-07-06,2026-08-16,1,191.77,14.04,164.85,37.7,New York,NY,USA
64,9,2,3,2026-01-30,2026-01-26,2,64.5,0.82,127.94,19.8,New York,NY,USA
65,10,1,1,2026-06-11,2026-01-03,2,311.74,14.99,530.02,30.0,New York,NY,USA
66,1,1,1,2026-05-14,2025-11-14,1,393.77,15.42,333.05,10.54,New York,NY,USA
67,5,4,3,2026-06-25,2025-12-01,5,416.03,7.43,1925.59,34.21,New York,NY,USA
68,8,10,2,2026-06-21,2026-06-25,5,291.32,0.89,1443.64,22.49,New York,NY,USA
69,5,5,2,2026-03-10,2026-07-17,3,125.75,17.25,312.17,34.5,New York,NY,USA
70,4,4,5,2026-01-28,2026-01-06,1,418.47,15.1,355.28,43.05,New York,NY,USA
71,10,3,4,2025-12-29,2025-12-03,1,217.94,15.09,185.05,7.72,New York,NY,USA
72,3,10,2,2026-01-02,2026-05-13,5,435.8,14.32,1866.97,43.23,New York,NY,USA
73,3,9,3,2026-01-25,2026-06-10,5,92.98,3.59,448.21,22.22,New York,NY,USA
74,10,6,3,2026-01-06,2025-12-15,1,482.11,1.0,477.29,16.64,New York,NY,USA
75,3,3,3,2025-12-26,2025-12-10,1,242.87,7.71,224.14,34.59,New York,NY,USA
76,5,6,2,2026-01-05,2026-01-12,5,321.18,19.78,1288.25,32.25,New York,NY,USA
77,8,1,3,2026-06-27,2025-12-13,3,330.93,4.71,946.03,45.52,New York,NY,USA
78,10,8,2,2026-04-13,2026-06-26,3,122.81,11.19,327.2,6.93,New York,NY,USA
79,10,6,3,2025-10-18,2025-12-06,3,496.51,7.87,1372.3,10.21,New York,NY,USA
80,1,2,5,2025-10-26,2026-01-06,2,145.21,3.42,280.49,12.05,New York,NY,USA
81,7,5,3,2026-02-05,2025-11-24,2,194.13,15.09,329.67,17.28,New York,NY,USA
82,7,10,5,2026-08-22,2025-10-29,4,264.05,17.44,872.0,30.61,New York,NY,USA
83,1,8,1,2025-12-20,2026-08-10,2,107.38,11.53,190.0,2.95,New York,NY,USA
84,4,5,3,2026-03-19,2026-04-10,4,86.25,2.45,336.55,33.11,New York,NY,USA
85,10,5,3,2025-11-21,2026-04-18,4,165.31,14.21,567.28,42.26,New York,NY,USA
